CustomerID,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,TransactionID,FraudIndicator,Category,TransactionAmount,Amount,Timestamp,MerchantID,AnomalyScore,MerchantName,Location
1001,Customer 1001,54,Address 1001,9507.27206,01-01-2022,0,1,0,Other,79.41360746,55.53033443,01-01-2022 00:00,2701,0.686699464,Merchant 2001,Location 2001
1002,Customer 1002,35,Address 1002,7408.704536,02-01-2022,0,2,0,Online,12.05308715,12.88118019,01-01-2022 01:00,2070,0.081748871,Merchant 2002,Location 2002
1003,Customer 1003,40,Address 1003,1715.321989,03-01-2022,0,3,0,Travel,33.31035719,50.17632152,01-01-2022 02:00,2238,0.02385683,Merchant 2003,Location 2003
1004,Customer 1004,30,Address 1004,3101.509134,04-01-2022,0,4,0,Travel,46.12111729,41.63400105,01-01-2022 03:00,2879,0.876994348,Merchant 2004,Location 2004
1005,Customer 1005,46,Address 1005,5405.766914,05-01-2022,0,5,0,Other,54.05161801,78.12285327,01-01-2022 04:00,2966,0.034058773,Merchant 2005,Location 2005
1006,Customer 1006,59,Address 1006,9347.967162,06-01-2022,0,6,0,Food,34.54513807,86.94708413,01-01-2022 05:00,2757,0.121172899,Merchant 2006,Location 2006
1007,Customer 1007,33,Address 1007,2957.760054,07-01-2022,0,7,0,Food,55.38311282,51.14709648,01-01-2022 06:00,2096,0.109891676,Merchant 2007,Location 2007
1008,Customer 1008,21,Address 1008,8303.773585,08-01-2022,0,8,0,Travel,17.85587786,56.16398431,01-01-2022 07:00,2493,0.780534207,Merchant 2008,Location 2008
1009,Customer 1009,32,Address 1009,5359.74781,09-01-2022,0,9,1,Retail,75.6599445,37.18241172,01-01-2022 08:00,2612,0.010470905,Merchant 2009,Location 2009
1010,Customer 1010,26,Address 1010,9506.882689,10-01-2022,0,10,0,Other,67.93187884,17.24540904,01-01-2022 09:00,2638,0.02937627,Merchant 2010,Location 2010
1011,Customer 1011,57,Address 1011,1895.705903,11-01-2022,0,11,0,Other,23.89562271,86.18094791,01-01-2022 10:00,2007,0.083455395,Merchant 2011,Location 2011
1012,Customer 1012,45,Address 1012,2706.148888,12-01-2022,0,12,0,Food,17.79722202,95.55400892,01-01-2022 11:00,2746,0.451734945,Merchant 2012,Location 2012
1013,Customer 1013,21,Address 1013,8646.50725,13-01-2022,0,13,0,Other,64.78165788,47.13851441,01-01-2022 12:00,2092,0.44480312,Merchant 2013,Location 2013
1014,Customer 1014,27,Address 1014,9922.291973,14-01-2022,0,14,0,Travel,43.69145948,98.80425008,01-01-2022 13:00,2892,0.997339633,Merchant 2014,Location 2014
1015,Customer 1015,59,Address 1015,3146.248188,15-01-2022,0,15,0,Other,35.45084414,99.83263446,01-01-2022 14:00,2849,0.8279264,Merchant 2015,Location 2015
1016,Customer 1016,22,Address 1016,8612.857297,16-01-2022,0,16,0,Other,47.62737483,20.73503915,01-01-2022 15:00,2640,0.45594737,Merchant 2016,Location 2016
1017,Customer 1017,21,Address 1017,5179.000965,17-01-2022,0,17,0,Other,83.80043413,44.54511885,01-01-2022 16:00,2858,0.078616969,Merchant 2017,Location 2017
1018,Customer 1018,28,Address 1018,2727.830525,18-01-2022,0,18,0,Travel,67.01973545,27.05493667,01-01-2022 17:00,2479,0.532820295,Merchant 2018,Location 2018
1019,Customer 1019,37,Address 1019,3797.734536,19-01-2022,0,19,1,Food,79.67952921,13.61551916,01-01-2022 18:00,2470,0.252012286,Merchant 2019,Location 2019
1020,Customer 1020,55,Address 1020,3552.855147,20-01-2022,0,20,0,Travel,23.12632325,20.80228964,01-01-2022 19:00,2933,0.279158608,Merchant 2020,Location 2020
1021,Customer 1021,48,Address 1021,8552.672867,21-01-2022,0,21,0,Travel,60.70535435,36.04360522,01-01-2022 20:00,2835,0.675940712,Merchant 2021,Location 2021
